Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
COULEE VERTE - BASTILLE;38 AVENUE DAUMESNIL;75012;PW0216;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.376419516945574, 48.84718308901555]}";48.847183089,2.37641951695
DIR SYSTEMES INFORMATION ET NUMERIQUE;227 RUE DE BERCY;75012;PW0999;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.369705547091575, 48.846475645558336]}";48.8464756456,2.36970554709
ACTIVITES ARTISANALES ET CREATION DU 12EME;30 RUE DU FAUBOURG SAINT ANTOINE;75012;PW0120;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.371645435064271, 48.852406612488366]}";48.8524066125,2.37164543506
PARC DE BERCY (JARDINAGE);1 COURS SAIT EMILION;75012;PW0058;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.385483176701273, 48.83241898581484]}";48.8324189858,2.3854831767
COULEE VERTE - DAUMESNIL RAMBOUILLET;AVENUE DAUMESNIL - COIN RUE RAMBOUILLET;75012;PW0217;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381615767605796, 48.84467620670815]}";48.8446762067,2.38161576761
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 12;181 AVENUE DAUMESNIL;75012;PW0030;6;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.392506776531803, 48.84048781257586]}";48.8404878126,2.39250677653
STADE CHARLETY;99 BOULEVARD KELLERMANN;75013;PW0169;6;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3467016527330182, 48.819334380975064]}";48.819334381,2.34670165273
CENTRE SPORTIF DUNOIS;70 RUE DUNOIS;75013;PW0079;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.366278587662253, 48.83317032166053]}";48.8331703217,2.36627858766
SQUARE DE LA RAFFINERIE SAY;147 BOULEVARD VINCENT AURIOL;75013;PW0174;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3620434010445353, 48.83256937742215]}";48.8325693774,2.36204340104
SQUARE GEORGES DUHAMEL;RUE JEAN ANOUILH;75013;PW0171;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.377611889269577, 48.83191582844804]}";48.8319158284,2.37761188927
PERMIS DE CONSTRUIRE - USAGER;6 PLACE LEVI STRAUSS;75013;PW0223;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.37528632402452, 48.830418305303915]}";48.8304183053,2.37528632402
BIBLIOTHEQUE ITALIE;213 BOULEVARD VINCENT AURIOL;75013;PW0114;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.356754476729749, 48.830786809045556]}";48.830786809,2.35675447673
CENTRE SPORTIF GEORGES CARPENTIER - BATIMENT TENNIS;81 BOULEVARD MASSENA;75013;PW0103-2;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.367308749603462, 48.82049066987803]}";48.8204906699,2.3673087496
SQUARE GUSTAVE MESUREUR;105 RUE JEANNE D ARC;75013;PW0178;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.362791895302856, 48.83384615455623]}";48.8338461546,2.3627918953
SQUARE RENE LEGALL;43 RUE CORVISART;75013;PW0069;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.347419766430832, 48.83220679997316]}";48.8322068,2.34741976643
SQUARE HENRI CADIOU;69 BOULEVARD ARAGO;75013;PW0172;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.342222542830242, 48.83464904809935]}";48.8346490481,2.34222254283
STADE CHARLETY;99 BOULEVARD KELLERMANN;75013;PW0169-1;5;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.345095220326008, 48.81902133591854]}";48.8190213359,2.34509522033
PROMENADE PISCINE JOSEPHINE BAKER;QUAI FRANCOIS MAURIAC;75013;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.375890851188937, 48.83603031598058]}";48.836030316,2.37589085119
SQUARE HELOISE ET ABELARD - PARIS NATURE MAISON DES 5 SENS;22 RUE PIERRE GOURDAULT;75013;PW0066;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.370106953637173, 48.83091904359557]}";48.8309190436,2.37010695364
BIBLIOTHEQUE MELVILLE ET MARGUERITE DURAND;79 RUE NATIONALE;75013;PW0221;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.366439911836686, 48.8267869710745]}";48.8267869711,2.36643991184
PARC DE CHOISY;160 AVENUE DE CHOISY;75013;PW0062;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.35959561394622, 48.82775099396245]}";48.827750994,2.35959561395
MAIRIE DU 13 EME;1 PLACE D ITALIE;75013;PW0013;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.355313349237969, 48.83231441086375]}";48.8323144109,2.35531334924
SQUARE JEAN CLAUDE NICOLAS FORESTIER;79 BOULEVARD KELLERMANN;75013;PW0179;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.347754755107914, 48.81983056005852]}";48.8198305601,2.34775475511
PREFOURRIERE CHARLETY;8 RUE THOMIRE;75013;PW0224;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.348381648711728, 48.81939645595856]}";48.819396456,2.34838164871
FOURRIERE CHEVALERET;5 SQUARE DUNOIS;75013;PW0225;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.366942112192091, 48.833753192432994]}";48.8337531924,2.36694211219
PARC DE CHOISY;160 AVENUE DE CHOISY;75013;PW0157;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.358626737402552, 48.828185823069624]}";48.8281858231,2.3586267374
SQUARE PAUL GRIMAULT;20 RUE DE LA FONTAINE A MULARD;75013;PW0180;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.348775124598702, 48.823043579724974]}";48.8230435797,2.3487751246
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  13;11 RUE CAILLAUX;75013;PW0039;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361318112511234, 48.822633345220225]}";48.8226333452,2.36131811251
CENTRE SPORTIF CHARLES MOUREU;17 AVENUE EDISON;75013;PW0074;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.364134661375058, 48.82780123635454]}";48.8278012364,2.36413466138
CENTRE SPORTIF GEORGES CARPENTIER;81 BOULEVARD MASSENA;75013;PW0103;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.368125151306785, 48.820237188844665]}";48.8202371888,2.36812515131
CENTRE SPORTIF GEORGES CARPENTIER - BUREAU;81 BOULEVARD MASSENA (BUREAU CENTRE SPORTIF);75013;PW0103-1;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.368446174308278, 48.82090327022334]}";48.8209032702,2.36844617431
BIBLIOTHEQUE GLACIERE MARINA TSVETAÏEVA;132 RUE DE LA GLACIERE;75013;PW0125;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.341993716984507, 48.827318054189206]}";48.8273180542,2.34199371698
SQUARE JULIA BARTET;1 RUE JULIA BARTET;75014;PW0183;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.302824808848507, 48.82568550112752]}";48.8256855011,2.30282480885
PARC MONTSOURIS - STATION RER;BOULEVARD JOURDAN;75014;PW0214;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.329491797866467, 48.822331067614996]}";48.8223310676,2.32949179787
PARC MONTSOURIS - GARDE COTY;2 RUE GAZAN;75014;PW0212;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.339872367385461, 48.82451919846646]}";48.8245191985,2.33987236739
BIBLIOTHEQUE AIME CESAIRE;5 RUE DE RIDDER;75014;PW0053;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.311662332111938, 48.83123124818045]}";48.8312312482,2.31166233211
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  14;22 RUE DEPARCIEUX;75014;PW0040;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.325821393195146, 48.8355916799591]}";48.83559168,2.3258213932
MAIRIE DU 14 EME;2 PLACE FERDINAND BRUNOT;75014;PW0035;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.326854356949057, 48.83299727958771]}";48.8329972796,2.32685435695
SQUARE CLAUDE NICOLAS LEDOUX;2 PLACE DENFERT ROCHEREAU;75014;PW0199;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.332128518332322, 48.83423188051034]}";48.8342318805,2.33212851833
SQUARE DU CHANOINE VIOLLET;72 RUE DU MOULIN VERT;75014;PW0185;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.320096490259549, 48.83129620230284]}";48.8312962023,2.32009649026
SQUARE SERMENT DE KOUFRA;30 AVENUE ERNEST REYER;75014;PW0188;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.323034982175868, 48.82159345390936]}";48.8215934539,2.32303498218
BIBLIOTHEQUE BENOITE GROULT;25 RUE DU COMMANDANT RENE MOUCHOTTE;75014;PW0218;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.319875105283682, 48.838280307264014]}";48.8382803073,2.31987510528
SQUARE ASPIRANT DUNAND;RUE MOUTON DUVERNET;75014;PW0063;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.326884536863806, 48.832155230735985]}";48.8321552307,2.32688453686
BIBLIOTHEQUE BRASSENS;38 RUE GASSENDI;75014;PW0054;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.325855977890741, 48.8337666096961]}";48.8337666097,2.32585597789
SQUARE FERDINAND BRUNOT;PLACE FERDINAND BRUNOT;75014;PW0065;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.326767226137216, 48.832851160952806]}";48.832851161,2.32676722614
MUSEE DE LA LIBERATION;4 AVENUE DU COLONEL ROL TANGUY PAVILLON OUEST;75014;PW0201;5;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.332014460030507, 48.833990634788535]}";48.8339906348,2.33201446003
GYMNASE ALICE MILLIAT;11 T RUE D ALESIA;75014;PW0094;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.336263839006833, 48.82716090943828]}";48.8271609094,2.33626383901
PARC MONTSOURIS - GARDE GAZAN;2 RUE GAZAN;75014;PW0213;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3398255642883, 48.82436764489121]}";48.8243676449,2.33982556429
POINT PARIS EMPLOI;12 RUE PIERRE CASTAGNOU;75014;PW0195;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.325814319838129, 48.83252306871407]}";48.8325230687,2.32581431984
BIBLIOTHEQUE MARGUERITE YOURCENAR;41 RUE D ALLERAY;75015;PW0046;5;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.303480802178814, 48.8368069210248]}";48.836806921,2.30348080218
CENTRE SPORTIF SUZANNE LENGLEN - ENTREE;2 RUE LOUIS ARMAND;75015;PW0173-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.276576357106314, 48.83307064322777]}";48.8330706432,2.27657635711
BIBLIOTHEQUE GUTENBERG;8 RUE DE LA MONTAGNE D AULAS;75015;PW0145;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.278706424214254, 48.84020760641956]}";48.8402076064,2.27870642421
CENTRE SPORTIF PLAINE;13 RUE DU GENERAL GUILLAUMAT;75015;PW0088;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.293327610769408, 48.828033174092695]}";48.8280331741,2.29332761077
PREFOURRIERE BALARD;1 RUE EMILE HEMINGWAY;75015;PW0228;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.275176007155638, 48.83759553433298]}";48.8375955343,2.27517600716
BIBLIOTHEQUE VAUGIRARD;154 RUE LECOURBE;75015;PW0137;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.299350321997607, 48.84170750668819]}";48.8417075067,2.299350322
MAIRIE DU 15 EME;31 RUE DE PECLET;75015;PW0014;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.299884387584236, 48.841515749400145]}";48.8415157494,2.29988438758
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 15;22 RUE DE LA SAIDA;75015;PW0031;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.295756095762723, 48.83183217258378]}";48.8318321726,2.29575609576
ESPACE PARISIEN POUR L INSERTION 7 15 16;14 RUE MOISANT;75015;PW0162;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.317205761596205, 48.842310116893366]}";48.8423101169,2.3172057616
BIBLIOTHEQUE ANDRÉE CHEDID;36-40 RUE EMERIAU;75015;PW0117;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.286136743745502, 48.84974131047438]}";48.8497413105,2.28613674375
CENTRE SPORTIF SUZANNE LENGLEN - STADE DE RUDBY;2  RUE LOUIS ARMAND;75015;PW0173-2;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.276606159443164, 48.832881073674926]}";48.8328810737,2.27660615944
CENTRE SPORTIF CHARLES RIGOULOT;18 AVENUE DE LA PORTE BRANCION;75015;PW0075;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.300417465508702, 48.82663359274811]}";48.8266335927,2.30041746551
CENTRE SPORTIF SUZANNE LENGLEN - TRIBUNE COUR DE TENNIS;2 RUE LOUIS ARMAND;75015;PW0173;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.276832789549165, 48.832964670678884]}";48.8329646707,2.27683278955
JARDIN DU TROCADERO;1 PLACE DU ONZE NOVEMBRE 1918;75016;PW0175;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.289349944365957, 48.8609372146897]}";48.8609372147,2.28934994437
JARDIN MUSEE GALLIERA;10 AVENUE PIERRE IER DE SERBIE;75016;;1;Fermé pour travaux;"{""type"": ""Point"", ""coordinates"": [2.297298857641214, 48.86565971283047]}";48.8656597128,2.29729885764
BIBLIOTHEQUE GERMAINE TILLION;6 RUE DU COMMANDANT SCHLOESING;75016;PW0113;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.284270791218422, 48.8618363825724]}";48.8618363826,2.28427079122
MUSEE D ART MODERNE;11 AVENUE DU PRESIDENT WILSON;75016;PW0211;11;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.296997336665013, 48.864710182344766]}";48.8647101823,2.29699733667
STADE PIERRE DE COUBERTIN;82 AVENUE GEORGES LAFONT;75016;PW0108;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.255760693346943, 48.83549894578003]}";48.8354989458,2.25576069335
CENTRE SPORTIF HENRY DE MONTHERLAND;30-32 BOULEVARD LANNES;75016;PW0101;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.27212085380691, 48.86752280679387]}";48.8675228068,2.27212085381
MAIRIE DU 16 EME;71 AVENUE HENRI-MARTIN;75016;PW0015;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.276652521898563, 48.86394077019892]}";48.8639407702,2.2766525219
MUSEE GALLIERA;10 AVENUE PIERRE 1ER DE SERBIE;75016;PW0229;16;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.296493860761188, 48.86591178656071]}";48.8659117866,2.29649386076
PISCINE AUTEUIL;1 ROUTE DES LACS A PASSY;75016;PW0102;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.261567482309456, 48.85815259404039]}";48.858152594,2.26156748231
PREFOURRIERE FOCH;8 AVENUE FOCH;75016;PW0230;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.291739344849886, 48.873812495377]}";48.8738124954,2.29173934485
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 16;14-16 AVENUE RENE BOYLESVE;75016;PW0041;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.283836733756715, 48.856750474464604]}";48.8567504745,2.28383673376
BIBLIOTHEQUE MUSSET;20 RUE MUSSET;75016;PW0140;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.263539698646935, 48.84208223736807]}";48.8420822374,2.26353969865
MUSEE BALZAC;47 RUE RAYNOUARD;75016;PW0202;10;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.280717716603592, 48.855393597560735]}";48.8553935976,2.2807177166
BIBLIOTHEQUE EDMOND ROSTAND;11 RUE NICOLAS CHUQUET;75017;PW0104;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.303089705679941, 48.888394359209]}";48.8883943592,2.30308970568
BIBLIOTHEQUE BATIGNOLLES;18 RUE DES BATIGNOLLES;75017;PW0133;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.322120945442446, 48.88475451404929]}";48.884754514,2.32212094544
CENTRE SPORTIF LEON BIANCOTTO;6 AVENUE DE LA PORTE DE CLICHY;75017;PW0098;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.311830475367834, 48.895768234519906]}";48.8957682345,2.31183047537
MAIRIE DU 17 EME;16/20 RUE DES BATIGNOLLES;75017;PW0016;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.321834360309547, 48.88449376861104]}";48.8844937686,2.32183436031
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  17;25 RUE LANTIEZ;75017;PW0042;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.323751423106822, 48.89503066621169]}";48.8950306662,2.32375142311
PISCINE BERNARD LAFAY;79 RUE DE LA JONQUIERE;75017;PW0100;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.318817242332568, 48.89464799028464]}";48.8946479903,2.31881724233
SQUARE ANDRE ULMANN;17 BOULEVARD DE REIMS;75017;PW0166;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.298941389477171, 48.889900397604244]}";48.8899003976,2.29894138948
BIBLIOTHEQUE COLETTE VIVIER;6 RUE FOURNEYRON;75017;PW0003;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.31964337343766, 48.889783335019025]}";48.889783335,2.31964337344
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 18;15 PASSAGE RAMEY;75018;PW0032;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.347335497120627, 48.890069083043606]}";48.890069083,2.34733549712
CENTRE SPORTIF POISSONNIERS;2 RUE JEAN COCTEAU;75018;PW0091;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.351991975265798, 48.899685926165404]}";48.8996859262,2.35199197527
ESPACE GLISSE DES FILLETTES;54 BOULEVARD NEY;75018;PW0093;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.363506935109957, 48.89875981393057]}";48.8987598139,2.36350693511
BIBLIOTHEQUE JACQUELINE DE ROMILLY;16-30 AVENUE DE LA PORTE MONTMARTRE;75018;PW0198;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.335873500895438, 48.9003798743325]}";48.9003798743,2.3358735009
BUTTE MONTMARTRE;6 PLACE SAINT-PIERRE;75018;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.343876274151759, 48.88448273278111]}";48.8844827328,2.34387627415
CENTRE SPORTIF BERTRAND DAUVIN;12 RUE RENE BINET;75018;PW0089;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3420540980918902, 48.89948663873551]}";48.8994866387,2.34205409809
BIBLIOTHEQUE GOUTTE D OR;2-4 RUE FLEURY;75018;PW0006;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3541416014207712, 48.88446312981792]}";48.8844631298,2.35414160142
MAIRIE DU 18 EME;1 PLACE JULES JOFFRIN;75018;PW0023;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3446872129632013, 48.89230355785122]}";48.8923035579,2.34468721296
JARDIN D EOLE - 1;18B RUE DU DEPARTEMENT;75018;PW0170;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.365475797194539, 48.886450569436604]}";48.8864505694,2.36547579719
BIBLIOTHEQUE ROBERT SABATIER;29 RUE HERMEL;75018;;3;Fermé pour travaux;"{""type"": ""Point"", ""coordinates"": [2.344436320114187, 48.89153632102746]}";48.891536321,2.34443632011
JARDIN D EOLE - 2;18B RUE DU DEPARTEMENT;75018;PW0170-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.365047829562393, 48.88583365457024]}";48.8858336546,2.36504782956
BIBLIOTHEQUE VACLAV HAVEL;26B RUE PAJOL;75018;PW0009;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.363209973631121, 48.890106154134955]}";48.8901061541,2.36320997363
CENTRE SPORTIF ZAC PAJOL;22T RUE PAJOL;75018;PW0092;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3630676012052962, 48.88959479724705]}";48.8895947972,2.36306760121
BIBLIOTHEQUE MAURICE GENEVOIX;19 RUE TRISTAN TZARA;75018;PW0007;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.363900713494337, 48.8949645929562]}";48.894964593,2.36390071349
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  19;20 RUE EDOUARD PAILLERON;75019;PW0033;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.376545106225318, 48.880406153498086]}";48.8804061535,2.37654510623
BIBLIOTHEQUE PLACE DES FETES;18 RUE JANSSEN;75019;PW0008;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.397637583708677, 48.87936484092137]}";48.8793648409,2.39763758371
CENTRE SPORTIF JULES LADOUMEGUE;37 ROUTE DES PETITS PONTS;75019;PW0083;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.397787506964459, 48.89300517697759]}";48.893005177,2.39778750696
MAIRIE DU 19 EME;5 PLACE ARMAND CARREL;75019;PW0017;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381917974125571, 48.88279457828256]}";48.8827945783,2.38191797413
PARC DES BUTTES CHAUMONT - VILLETTE;1 RUE BOTZARIS;75019;PW0159;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.388327637394474, 48.879681746818164]}";48.8796817468,2.38832763739
SQUARE DE LA MARSEILLAISE;1B RUE DE LA MARSEILLAISE;75019;PW0064;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.398062243029121, 48.887286841813356]}";48.8872868418,2.39806224303
ARCHIVES DE PARIS;18 BOULEVARD SERURIER;75019;PW0136;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.4058081248559793, 48.87803821682543]}";48.8780382168,2.40580812486
PARC DES BUTTES CHAUMONT - BOLIVAR;1 RUE BOTZARIS;75019;PW0159-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381017420133907, 48.87647305121453]}";48.8764730512,2.38101742013
PREFOURRIERE PANTIN;15 RUE DE LA MARSEILLAISE;75019;PW0231;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.398020912550891, 48.88861651829492]}";48.8886165183,2.39802091255
CENTRE SPORTIF DES LILAS;5 RUE DES LILAS;75019;PW0081;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.395421266947553, 48.87790680084419]}";48.8779068008,2.39542126695
BIBLIOTHEQUE FESSART;6 RUE FESSART;75019;PW0005;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.388184228076371, 48.87626878314261]}";48.8762687831,2.38818422808
PARC DES BUTTES CHAUMONT - CARREL;4 PLACE ARMAND CARREL;75019;PW0182;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.38270542559956, 48.88279406334443]}";48.8827940633,2.3827054256
PARC DES BUTTES CHAUMONT - FESSARD;3 RUE BOTZARIS;75019;PW0159-2;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381090100033082, 48.8779490325857]}";48.8779490326,2.38109010003
SQUARE CLAUDE BERNARD;176 BOULEVARD MACDONALD;75019;PW0209;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381583528155401, 48.898295887695575]}";48.8982958877,2.38158352816
BIBLIOTHEQUE CRIMEE;42-44 RUE PETIT;75019;PW0004;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.383050187514214, 48.88488201636432]}";48.8848820164,2.38305018751
BIBLIOTHEQUE BENJAMIN RABIER;141 AVENUE DE FLANDRE;75019;PW0001;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.379122839458274, 48.89276109370963]}";48.8927610937,2.37912283946
BIBLIOTHEQUE CLAUDE LEVI STRAUSS;35-45 AVENUE DE FLANDRE;75019;PW0002;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.371473050466415, 48.88676697087047]}";48.8867669709,2.37147305047
BIBLIOTHEQUE HERGE;2 RUE DU DEPARTEMENT;75019;PW0139;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.367235014082817, 48.885013626409254]}";48.8850136264,2.36723501408
SQUARE MARCEL MOULOUDJI;2 RUE PIERRE REVERDY;75019;PW0167;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.376354191052253, 48.88527540480052]}";48.8852754048,2.37635419105
BASE NAUTIQUE DE LA VILLETTE;41 QUAI DE LA LOIRE;75019;PW0078;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.378891594800032, 48.88752363166016]}";48.8875236317,2.3788915948
PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR);27 RUE PIAT;75020;PW0168;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.384924750509342, 48.87160514880642]}";48.8716051488,2.38492475051
BIBLIOTHEQUE MARGUERITE DURAS;109-115 RUE DE BAGNOLET;75020;PW0045;11;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.403226998544119, 48.85983876871812]}";48.8598387687,2.40322699854
PARC DE BELLEVILLE - 1;45 RUE DES COURONNES;75020;PW0057;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.384237750061385, 48.870590463867536]}";48.8705904639,2.38423775006
CENTRE SPORTIF PYRENEES;296 RUE DES PYRENEES;75020;PW0072;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.392302500371264, 48.8719533728045]}";48.8719533728,2.39230250037
BIBLIOTHEQUE LOUISE MICHEL;29/35 RUE DES HAIES;75020;PW0130;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.401212788267676, 48.85329554638978]}";48.8532955464,2.40121278827
GYMNASE VIGNOLES EST;83-91 RUE DES HAIES;75020;PW0073;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.403902885604971, 48.85524049982195]}";48.8552404998,2.4039028856
CENTRE SPORTIF LOUIS LUMIERE;30 RUE LOUIS LUMIERE;75020;PW0105;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.411645684536093, 48.85919821308154]}";48.8591982131,2.41164568454
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 20;18 RUE RAMUS;75020;PW0187;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3987890642197662, 48.86270432644075]}";48.8627043264,2.39878906422
BIBLIOTHEQUE SORBIER;17 RUE SORBIER;75020;PW0129;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.392851974569112, 48.86596158237579]}";48.8659615824,2.39285197457
BIBLIOTHEQUE ASSIA DJEBARD;1 RUE REYNALDO HAHN;75020;PW0144;6;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.412098158335315, 48.84923399718691]}";48.8492339972,2.41209815834
BIBLIOTHEQUE NAGUIB MAHFOUZ;66 RUE DES COURONNES;75020;PW0048;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.385219826057544, 48.870162555019036]}";48.870162555,2.38521982606
