Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
BERGES RIVE DROITE - LES NAUTES;BERGE DE SEINE RIVE DROITE - 5 QUAI DES CELESTINS;75004;PW0150;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.360310974496216, 48.85235333983582]}";48.8523533398,2.3603109745
HOTEL DE VILLE RDC;4 PLACE DE L'HOTEL DE VILLE;75004;PW0122-1;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.35238826700578, 48.85638968298792]}";48.856389683,2.35238826701
BERGES RIVE DROITE - PONT NOTRE DAME;BERGE DE SEINE RIVE DROITE -  QUAI DE GESVRES 2;75004;PW0181;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3489230003257022, 48.856687570900185]}";48.8566875709,2.34892300033
SQUARE JEAN XXIII - 1;RUE DU CLOITRE NOTRE DAME;75004;;1;Fermé pour travaux;"{""type"": ""Point"", ""coordinates"": [2.350670607814152, 48.85244200134777]}";48.8524420013,2.35067060781
SQUARE DE LA TOUR SAINT JACQUES;88 RUE DE RIVOLI;75004;PW0153;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.349220101454865, 48.85804072427662]}";48.8580407243,2.34922010145
MUSEE VICTOR HUGO;6 PLACE DES VOSGES;75004;;10;En étude;"{""type"": ""Point"", ""coordinates"": [2.366168524762721, 48.85477276860284]}";48.8547727686,2.36616852476
HOTEL DE VILLE  PARVIS  9;9 PLACE DE L HOTEL DE VILLE;75004;PW0119;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.351277612149236, 48.85727328251876]}";48.8572732825,2.35127761215
BIBLIOTHEQUE ARTHUR RIMBAUD;2 PLACE BAUDOYER;75004;PW0132-2;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3559375242406873, 48.85613837361524]}";48.8561383736,2.35593752424
HOTEL DE VILLE PARVIS SEINE;4 PLACE DE L'HOTEL DE VILLE;75004;PW0123;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.35175507673093, 48.8563193139378]}";48.8563193139,2.35175507673
BIBLIOTHEQUE BUFFON;15 B RUE BUFFON;75005;PW0111;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361868243596555, 48.842546608019944]}";48.842546608,2.3618682436
CENTRE SPORTIF POLIVEAU;39 B RUE POLIVEAU;75005;PW0090;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.357480751841143, 48.839812146077996]}";48.8398121461,2.35748075184
SQUARE PAUL LANGEVIN;12 RUE DES ECOLES;75005;PW0154;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.34964310762926, 48.848084907658944]}";48.8480849077,2.34964310763
BIBLIOTHEQUE DES LITTERATURES POLICIERES;48-50 RUE DU CARDINAL LEMOINE;75005;PW0138;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.351181030723315, 48.84643022998531]}";48.84643023,2.35118103072
BIBLIOTHEQUE HEURE JOYEUSE;6-12 RUE DES PRETRES ST-SEVERIN;75005;PW0136;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.344948218913558, 48.85190101045929]}";48.8519010105,2.34494821891
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE QUARTIER LATIN 5;4 RUE DES ARENES;75005;PW0026;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3542064419028152, 48.845112192168884]}";48.8451121922,2.3542064419
BIBLIOTHEQUE MOHAMMED ARKOUN;74 RUE MOUFFETARD;75005;PW0126;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.349673760661307, 48.84249352852194]}";48.8424935285,2.34967376066
MAIRIE DU 5 EME;21 PLACE DU PANTHEON;75005;PW0021;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.344580878695055, 48.846191708958614]}";48.846191709,2.3445808787
BIBLIOTHEQUE RAINER MARIA RILKE;88 T BOULEVARD DE PORT-ROYAL;75005;PW0115;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.338781673488586, 48.839306988804566]}";48.8393069888,2.33878167349
SQUARE THEODORE MONOD;8 RUE SCIPION;75005;PW0155;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.353777536666723, 48.83839921606968]}";48.8383992161,2.35377753667
JARDIN DES GRANDS EXPLORATEURS;5 RUE MICHELET;75006;PW0208;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.336705703948916, 48.841388566111874]}";48.8413885661,2.33670570395
MAIRIE DU 6 EME;78 RUE BONAPARTE;75006;PW0128;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.332611370193369, 48.85053652689776]}";48.8505365269,2.33261137019
MAISON DES INITIATIVES ETUDIANTES LABO6;76B RUE DE RENNES;75006;PW0146;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.330443623016365, 48.851242609525265]}";48.8512426095,2.33044362302
BIBLIOTHEQUE ANDRE MALRAUX;78 BOULEVARD RASPAIL;75006;PW0118;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.327594336081364, 48.848109737334205]}";48.8481097373,2.32759433608
PARC CHAMPS DE MARS - 1;AVENUE CHARLES RISLER;75007;PW0165;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.293339063475273, 48.85697941031564]}";48.8569794103,2.29333906348
BIBLIOTHEQUE SAINT SIMON;116 RUE DE GRENELLE;75007;PW0022-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.320043697435677, 48.85686647665855]}";48.8568664767,2.32004369744
PARC CHAMPS DE MARS - 2;AVENUE CHARLES RISLER;75007;PW0165-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.300190630733142, 48.85461012252293]}";48.8546101225,2.30019063073
BERGES RIVE GAUCHE - LA HALLE;PORT DE SOLFERINO;75007;PW0190;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.32506543396433, 48.86114845894017]}";48.8611484589,2.32506543396
BERGES RIVE GAUCHE - EMMARCHEMENT;PORT DE SOLFERINO;75007;PW0207;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.324356570020385, 48.861416641848194]}";48.8614166418,2.32435657002
